TRNO,Cultivar,EC,Date,DAP,Tank Vol (L),No. Plants,TN (mg/L),NH4 (mg/L),NO3 (mg/L),P (mg/L),K (mg/L),N_%_Shoot,N_%_Root,P_%_Shoot,P_%_Root,K_%_Shoot,K_%_Root,N_initial (g),P_initial (g),K_initial (g),A+B (mL),HNO3 (mL),KOH (mL),N_A+B (g),N_HNO3 (g),N_tot (g),N_cumul (g),DryRW (g),InFRtW (g),InDSM (g),InDRtW (g),TFW (g),SFW (g),RFW (g),SDW (g),RDW (g),CWAD (kg/ha),RWAD (kg/ha)
2,MUIR,1.2,22126,30.0,40.0,15.0,111.56,0.0243,111.5395,24.41,115.979,0.0380874999999999,0.0247,0.0091874999999999,0.0042,0.0942,0.02625,0.0,0.0,0.0,27.0,17.5,0.0,,,,,0.8946,,4.227649999999999,0.4333,,,,0.0001,0.7866666666666671,0.01,99.91
2,MUIR,1.2,22129,33.0,40.0,15.0,112.295,0.01955,112.27835,24.865,90.1315,0.0380874999999999,0.0247,0.0091874999999999,0.0042,0.0940999999999999,0.02625,0.0,0.0,0.0,44.25,21.75,0.0,,,,,0.8946,,5.971399999999997,0.8812000000000006,,,,0.3233333333333323,0.8833333333333329,41.06,112.18
2,MUIR,1.2,22131,35.0,40.0,12.0,114.495,0.01695,114.47655,22.685,77.3745,0.0402749999999999,0.0247,0.0087749999999999,0.0042,0.0939999999999999,0.02625,0.0,0.0,0.0,28.0,6.75,0.0,,,,,0.8946,,7.140000000000001,1.2489714285714286,,,,3.066666666666668,1.1199999999999992,389.47,142.24
3,SKYPHOS,1.2,22196,8.0,40.0,24.0,119.626,6.812900000000001,107.553,27.6435,206.2565,0.0364499999999999,0.03,0.0083,0.00675,0.0691,0.04,4.784,1.13,8.1328,573.5,0.0,2.25,,,,,1.1502,,1e-05,0.0015716666666661,,,1,1.0,,127.0,
3,SKYPHOS,1.2,22199,12.0,40.0,24.0,118.29025,6.39555,111.8947,30.548,190.1585,0.0364499999999999,0.03,0.0083,0.00675,0.0691,0.04,0.0,0.0,0.0,10.5,0.0,1.0,,,,,1.1502,,0.0,0.0,,,12.256666666666666,10.77,,1367.79,
3,SKYPHOS,1.2,22202,14.0,40.0,24.0,90.8493,4.70165,86.14765,25.172,144.0205,0.0364499999999999,0.03,0.0083,0.00675,0.0691,0.04,0.0,0.0,0.0,3.0,0.0,9.0,,,,,1.1502,,1e-05,1e-05,,,11.856666666666667,10.653333333333334,,1352.97,
3,SKYPHOS,1.2,22204,16.0,40.0,21.0,110.30445,3.41735,106.8871,28.783,181.3975,0.0364499999999999,0.03,0.0056999999999999,0.00675,0.05535,0.04,0.0,0.0,0.0,3.25,0.0,9.25,,,,,1.1502,,0.0,0.2155,,,12.613333333333335,11.873333333333337,,1507.91,
3,SKYPHOS,1.2,22207,19.0,40.0,21.0,112.1801,0.9469,111.2332,28.7465,184.648,0.0347249999999999,0.03,0.0062749999999999,0.00675,0.05535,0.04,0.0,0.0,0.0,42.75,0.0,5.0,,,,,1.0224,,0.0766499999999998,0.3231999999999999,,,12.856666666666664,15.106666666666667,,1918.55,
3,SKYPHOS,1.2,22209,21.0,40.0,21.0,112.2253,0.0725,112.1528,28.448,174.9235,0.033,0.03,0.0068499999999999,0.00675,0.066525,0.04,0.0,0.0,0.0,40.0,0.0,8.0,,,,,1.0224,,0.6350000000000016,0.4042666666666676,,,13.097142857142856,21.795,,2767.96,
3,SKYPHOS,1.2,22211,23.0,40.0,18.0,93.60725,0.0428999999999999,93.56435,27.3345,114.4,0.0367499999999999,0.03,0.00765,0.00675,0.0776999999999999,0.04,0.0,0.0,0.0,40.0,11.375,0.0,,,,,1.0224,,1.6066499999999992,0.5129999999999999,,,Root bag,,,,
3,SKYPHOS,1.2,22214,26.0,40.0,18.0,112.49515,0.0321,112.46305,22.877,111.236,0.0366249999999999,0.03,0.0074749999999999,0.00675,0.0903999999999999,0.04,0.0,0.0,0.0,59.25,18.75,0.0,,,,,1.0224,,3.2833500000000004,0.69,,,1,1.0,,127.0,
3,SKYPHOS,1.2,22216,28.0,40.0,18.0,114.05745,0.0355,114.02195,27.5365,88.771,0.0365,0.03,0.0072999999999999,0.00675,0.088125,0.04,0.0,0.0,0.0,46.0,11.75,0.0,,,,,1.0224,,4.151666666666665,0.6675999999999995,,,11.103333333333333,11.153333333333334,,1416.47,
